datetime,machineid,machinemodel,machineage,volt,rotate,pressure,vibration,errorid,compmaint,compfail
2015-04-30 06:00:00,98,model2,20,154.125118673811,343.460134988231,85.8536726514998,46.1078006491538,0,1,1
2015-04-30 06:00:00,98,model2,20,154.125118673811,343.460134988231,85.8536726514998,46.1078006491538,0,1,1
2015-04-30 06:00:00,98,model2,20,154.125118673811,343.460134988231,85.8536726514998,46.1078006491538,0,1,1
2015-04-30 06:00:00,98,model2,20,154.125118673811,343.460134988231,85.8536726514998,46.1078006491538,0,1,1
2015-06-14 06:00:00,98,model2,20,188.339367443091,383.655684396596,87.7144891666791,41.516272607666,0,1,1
2015-06-29 06:00:00,98,model2,20,231.317519507475,389.259019828833,90.3004118604598,50.5452014439745,0,1,1
2015-06-29 06:00:00,98,model2,20,231.317519507475,389.259019828833,90.3004118604598,50.5452014439745,0,1,1
2015-06-29 06:00:00,98,model2,20,231.317519507475,389.259019828833,90.3004118604598,50.5452014439745,0,1,1
2015-06-29 06:00:00,98,model2,20,231.317519507475,389.259019828833,90.3004118604598,50.5452014439745,0,1,1
2015-11-11 06:00:00,98,model2,20,177.206366503195,423.824696020407,102.044302139841,38.9684304165848,0,1,0
2015-09-12 06:00:00,98,model2,20,185.221724538676,464.308971644996,109.791303744589,40.912734992169,0,1,0
2015-09-12 06:00:00,98,model2,20,185.221724538676,464.308971644996,109.791303744589,40.912734992169,0,1,0
2015-12-11 06:00:00,98,model2,20,170.021015024342,530.309629796308,102.307486447025,39.9502707361215,0,1,0
2015-07-14 06:00:00,98,model2,20,167.41884892624,420.534212198545,109.359257366379,39.5005724150788,0,1,0
2015-10-12 06:00:00,98,model2,20,153.130691733283,365.919715872016,117.649442660293,29.4283407959435,0,1,0
2015-03-16 06:00:00,98,model2,20,149.838099725849,482.561587525947,130.608375605254,48.968250543728,0,1,0
2015-09-27 06:00:00,98,model2,20,153.566756398966,406.274523566207,113.645660230678,29.4450501825131,0,1,0
2015-09-27 06:00:00,98,model2,20,153.566756398966,406.274523566207,113.645660230678,29.4450501825131,0,1,0
2015-03-31 06:00:00,98,model2,20,162.675751297393,421.006555262157,101.603300210644,43.6392324435034,0,1,0
2015-12-26 06:00:00,98,model2,20,144.829362128006,451.177980762493,99.5474856593165,46.2695300180657,0,1,0
2015-10-26 06:00:00,98,model2,20,182.394093705387,246.775152498434,102.137358109888,36.7033579063101,1,0,0
2015-10-26 06:00:00,98,model2,20,182.394093705387,246.775152498434,102.137358109888,36.7033579063101,1,0,0
2015-02-28 06:00:00,98,model2,20,166.876678145907,411.885471926836,91.4590028506531,52.4865991184033,1,0,0
2015-08-27 06:00:00,98,model2,20,180.503542867234,425.142000533734,102.510544458771,43.0647629342205,1,0,0
2015-08-27 06:00:00,98,model2,20,180.503542867234,425.142000533734,102.510544458771,43.0647629342205,1,0,0
2015-07-02 13:00:00,98,model2,20,149.238876210308,488.695723234258,101.611393304104,46.2887847437394,1,0,0
2015-01-17 06:00:00,98,model2,20,139.675737336022,428.469185618679,89.1141333163541,37.8796998289141,1,0,0
2015-04-29 06:00:00,98,model2,20,182.526049542682,350.890109010987,94.691838870791,46.397682410245,1,0,0
2015-04-29 06:00:00,98,model2,20,182.526049542682,350.890109010987,94.691838870791,46.397682410245,1,0,0
2015-04-29 06:00:00,98,model2,20,182.526049542682,350.890109010987,94.691838870791,46.397682410245,1,0,0
2015-11-25 06:00:00,98,model2,20,162.414985412494,350.021255775868,112.637389981003,37.7679354107421,1,0,0
2015-10-26 04:00:00,98,model2,20,169.849908115109,316.959761806978,108.133770905356,35.1177863534746,1,0,0
2015-08-24 12:00:00,98,model2,20,154.949472844497,415.14118017427,121.495577871172,38.5358469362796,1,0,0
